,timestamp,lat,lon,alt,timestamp_diff,lat_prev,lon_prev,distance,speed
0,56:00.1,40.7863714,-119.2021734,1191.961,,,,,
1,56:02.0,40.7863773,-119.2022353,1191.393,0 days 00:00:01.913559,40.7863714,-119.2021734,0.00051137,1.840931506
2,56:04.0,40.7863826,-119.202295,1191.316,0 days 00:00:02.015101,40.7863773,-119.2022353,0.000459366,0.826859042
3,56:06.0,40.7863835,-119.2023625,1190.394,0 days 00:00:02.010234,40.7863826,-119.202295,7.80E-05,0.140410023
4,56:08.1,40.7863849,-119.202426,1189.581,0 days 00:00:02.036932,40.7863835,-119.2023625,0.000121342,0.218415592
5,56:10.0,40.7863816,-119.202485,1189.609,0 days 00:00:01.957415,40.7863849,-119.202426,0.00028602,1.029673509
6,56:12.1,40.7863726,-119.2025369,1189.979,0 days 00:00:02.057008,40.7863816,-119.202485,0.000780056,1.404100281
7,56:15.0,40.786375,-119.2025987,1187.833,0 days 00:00:02.983631,40.7863726,-119.2025369,0.000208015,0.374426747
8,56:18.1,40.7863747,-119.2026629,1186.899,0 days 00:00:03.003149,40.786375,-119.2025987,2.60E-05,0.031202228
9,56:20.0,40.786376,-119.2027203,1186.264,0 days 00:00:01.974074,40.7863747,-119.2026629,0.000112675,0.405628971
10,56:22.0,40.7863753,-119.2027859,1186.268,0 days 00:00:01.985242,40.786376,-119.2027203,6.07E-05,0.218415599
11,56:24.0,40.7863755,-119.20285,1186.492,0 days 00:00:01.966232,40.7863753,-119.2027859,1.73E-05,0.062404456
12,56:26.1,40.7863748,-119.2029117,1186.671,0 days 00:00:02.081029,40.7863755,-119.20285,6.07E-05,0.109207801
13,56:28.0,40.7863704,-119.202975,1186.978,0 days 00:00:01.919977,40.7863748,-119.2029117,0.000381361,1.372898084
14,56:30.0,40.7863686,-119.2030411,1186.917,0 days 00:00:02.000441,40.7863704,-119.202975,0.000156011,0.280820068
15,56:32.0,40.7863693,-119.2031126,1186.391,0 days 00:00:02.066783,40.7863686,-119.2030411,6.07E-05,0.109207803
16,56:34.0,40.7863695,-119.2031826,1186.389,0 days 00:00:01.977941,40.7863693,-119.2031126,1.73E-05,0.062404461
17,56:36.0,40.7863685,-119.2032522,1186.23,0 days 00:00:01.967141,40.7863695,-119.2031826,8.67E-05,0.312022296
18,56:38.1,40.7863719,-119.2033223,1186.184,0 days 00:00:02.068392,40.7863685,-119.2032522,0.000294688,0.530437903
19,56:40.1,40.7863737,-119.2033906,1186.12,0 days 00:00:02.011639,40.7863719,-119.2033223,0.000156011,0.280820061
20,56:42.0,40.7863776,-119.2034569,1186.14,0 days 00:00:01.971041,40.7863737,-119.2033906,0.000338024,1.216886921
